Method,Portfolio,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Historical,Max Sharpe,0.19284308122905236,0.16233650487766393,0.8799196541572598,-0.19991087432027577
Historical,Minimum Variance,0.12212905815806323,0.13562584659209487,0.5318238371996814,-0.14325295730943055
Historical,Target Return,0.12215712988936918,0.1356251391086361,0.5320335917338387,-0.14326278120752023
OLS,Max Sharpe,0.20939488508623855,0.16702078561735462,0.9543416078248665,-0.20525816373415262
OLS,Minimum Variance,0.12212905815806323,0.13562584659209487,0.5318238371996814,-0.14325295730943055
OLS,Target Return,0.12215777216388672,0.13562474643310765,0.532039867808904,-0.14326238898350552
Ridge,Max Sharpe,0.20939581927025547,0.1670211225214928,0.9543452759979142,-0.20525855665217785
Ridge,Minimum Variance,0.12212905815806323,0.13562584659209487,0.5318238371996814,-0.14325295730943055
Ridge,Target Return,0.12215777215253745,0.13562474643386216,0.5320398677222627,-0.14326238898295496
Lasso,Max Sharpe,0.22945697976632468,0.17553445286122857,1.0223461938164193,-0.21369732393365315
Lasso,Minimum Variance,0.12212905815806323,0.13562584659209487,0.5318238371996814,-0.14325295730943055
Lasso,Target Return,0.12215802310313904,0.13562474558550747,0.5320417213807453,-0.14326251912538612
QQQ,ETF Benchmark,0.23585973353281559,0.20019491219258587,0.9283938912194735,-0.22768319285340277
SPY,ETF Benchmark,0.20208917419188943,0.15517649545598905,0.9801044529648163,-0.1875523871783361
